Restaurant_Name,Location,Cuisine,Rating,Address,Map
Greens & Seeds -  Chef's Table Gulshan,Banani,Healthy,4.2/5,"Greens & Seeds -  Chef's Table Gulshan,banani",https://maps.app.goo.gl/PF3AfwQEmfzJbmjZ8
Tehari Ghor DCC market,Banani,Rice Dishes,3.8/5,"Tehari Ghor DCC market,banani",https://maps.app.goo.gl/EE64iUxYdoPjJVVi7
Chaap - The Pressure,Banani,Kebab,4/5,"Chaap - The Pressure,banani",https://maps.app.goo.gl/PProcyTz6jinHxC89
Taltibaaz,Banani,Mexican,4/5,"Taltibaaz,banani",https://maps.app.goo.gl/DoaRTzuwdPWzc3Vt6
Snack Pack,Banani,Snacks,3.9/5,"Snack Pack,banani",https://maps.app.goo.gl/jMN4N1bY98poUvao6
Thanda Garam - Gulshan 2,Banani,Juice Corner,4.4/5,"Thanda Garam - Gulshan 2,banani",https://maps.app.goo.gl/bF8c3hiXTXuddYg48
Tapao - Pan Asian Cuisine,Banani,Rice Dishes,3.9/5,"Tapao - Pan Asian Cuisine,banani",https://maps.app.goo.gl/Npo13nM8bCaaX1yz7
The White Canary Cafe,Banani,Cafe,4.3/5,"The White Canary Cafe,banani",https://maps.app.goo.gl/kaSFHHap5mjk8ZSW7
Palongki Tehari and Biryani Express,Banani,Biryani,3.3/5,"Palongki Tehari and Biryani Express,banani",https://maps.app.goo.gl/tcTQKprZwrJA4QAu7
Pizza Lover,Banani,Pizza,2.9/5,"Pizza Lover,banani",https://maps.app.goo.gl/6pgJg4vhZqEWhSb29
Helen Kitchen,Banani,Bangladeshi,4/5,"Helen Kitchen,banani",https://maps.app.goo.gl/rksh1M5wpPsF4bxj8
Jerry Bees,Banani,Dessert,4.3/5,"Jerry Bees,banani",https://maps.app.goo.gl/EAtJnTrbKhi4Qb7T8
Bistro E,Banani,Fast Food,4.4/5,"Bistro E,banani",https://maps.app.goo.gl/Xs9YBEsezUC9iRFE6
Butter - The Bakery (CENTRAL),Banani,Dessert,4.4/5,"Butter - The Bakery (CENTRAL),banani",https://maps.app.goo.gl/DnNgT2hvYLRXGm3R8
Signature By Khazana,Banani,Indian,4/5,"Signature By Khazana,banani",https://maps.app.goo.gl/8Y3QcWzZ1tpynUjL7
Cha Chai / Roll Chai,Banani,Beverage,4.1/5,"Cha Chai / Roll Chai,banani",https://maps.app.goo.gl/XwTB9ZbfrsjRpp2j6
Ghoroa Hotel and Restaurant - Mohakhali,Banani,Bangladeshi,4.1/5,"Ghoroa Hotel and Restaurant - Mohakhali,banani",https://maps.app.goo.gl/kdM4kEfGau3XAFA46
Brews & Bites,Banani,Fast Food,4.2/5,"Brews & Bites,banani",https://maps.app.goo.gl/7DPLkaSA3bzEtLNa8
Nobabi Voj Restaurant & Catering Service,Banani,Bangladeshi,3.8/5,"Nobabi Voj Restaurant & Catering Service,banani",https://maps.app.goo.gl/HFpV9SbDkKtYAmQE6
Chittagong Bull,Banani,Kebab,4.2/5,"Chittagong Bull,banani",https://maps.app.goo.gl/mYSepvEpGQqrdAQJA
Panda Dumplings,Banani,Dumpling,4.3/5,"Panda Dumplings,banani",https://maps.app.goo.gl/RqcJA21BJqdKs72D7
Switch Kitchen,Banani,Burgers,3.4/5,"Switch Kitchen,banani",https://maps.app.goo.gl/SzQo54rb5X8QTJHm7
Thai Signatures - Gulshan,Banani,Thai,4.2/5,"Thai Signatures - Gulshan,banani",https://maps.app.goo.gl/myDcTqdP1dnjZYsj8
Mollah Bhorta House - Gulshan,Banani,Bangladeshi,4/5,"Mollah Bhorta House - Gulshan,banani",https://maps.app.goo.gl/F95FsaDZwq2sof2R9
Diggger - Mohakhali,Banani,Pizza,3.9/5,"Diggger - Mohakhali,banani",https://maps.app.goo.gl/t2J5pCUnwR5aM2c49
The Red Window - Gulshan,Banani,Fast Food,4.2/5,"The Red Window - Gulshan,banani",https://maps.app.goo.gl/kqqMynByYdshQeE77
Tabaq Coffee DOHS Baridhara,Banani,Cafe,4.7/5,"Tabaq Coffee DOHS Baridhara,banani",https://maps.app.goo.gl/P2nsnzHKYxGz4WtF6
Dallas Cafe & Restaurant,Banani,Snacks,4/5,"Dallas Cafe & Restaurant,banani",https://maps.app.goo.gl/yTYfYceAbpFxPgLK8
Sub Lover's - Mohakhali,Banani,Fast Food,4/5,"Sub Lover's - Mohakhali,banani",https://maps.app.goo.gl/S3CMD31r57Ksewdb6
The Dhaka Kathi Express,Banani,Kebab,4.2/5,"The Dhaka Kathi Express,banani",https://maps.app.goo.gl/EDRNUHWbQS8M3XTA9
Muno Cafe Bisto - Gulshan,Banani,Fast Food,3.5/5,"Muno Cafe Bisto - Gulshan,banani",https://maps.app.goo.gl/NMv5gd9ekD1JKS118
PastaMania,Banani,Italian,4.3/5,"PastaMania,banani",https://maps.app.goo.gl/B6KR9sMBYBjH4JDn6
Niribili Hotel & Restaurant,Banani,Bangladeshi,4/5,"Niribili Hotel & Restaurant,banani",https://maps.app.goo.gl/RwKRBgdpz3mqxQgT6
Sheesh Garden,Banani,Chinese,4.1/5,"Sheesh Garden,banani",https://maps.app.goo.gl/SvkxRtY4Auz9gmrY6
Bachelor's Mohakhali,Banani,Fast Food,4/5,"Bachelor's Mohakhali,banani",https://maps.app.goo.gl/bo7GRMZbBjp2B7tD9
Nostalgia Cafe,Banani,Snacks,4.1/5,"Nostalgia Cafe,banani",https://maps.app.goo.gl/GCmjz4U4ZkHdun8e8
Delifrance,Banani,Cakes,4.5/5,"Delifrance,banani",https://maps.app.goo.gl/uC54A5LsyEA8YR6f7
Midori Japanese Restaurant,Banani,Japanese,4.7/5,"Midori Japanese Restaurant,banani",https://maps.app.goo.gl/j2fZKMo3GbEky5gN7
Royal Treat - By Ascott Palace,Banani,Asian,4.3/5,"Royal Treat - By Ascott Palace,banani",https://maps.app.goo.gl/8xM9ftRKNnVmsMWR6
Shaw's Steakhouse,Banani,Fast Food,4.3/5,"Shaw's Steakhouse,banani",https://maps.app.goo.gl/8KkscUgCGx5mf7Fa9
Baoxi Kafei,Banani,Chinese,3.8/5,"Baoxi Kafei,banani",https://maps.app.goo.gl/PnXMhjvMngMuGZKf8
Bao,Banani,Fast Food,4.3/5,"Bao,banani",https://maps.app.goo.gl/w7qSthkQ33nPA7Th7
George's Pizza,Banani,Fast Food,4/5,"George's Pizza,banani",https://maps.app.goo.gl/dg6YpR3PnpVy4Ldt9
Wok & Fire,Banani,Chinese,4.2/5,"Wok & Fire,banani",https://maps.app.goo.gl/3kWa1vxi5uBnpHiR8
Machan Restaurant - Gulshan,Banani,Kebab,3.7/5,"Machan Restaurant - Gulshan,banani",https://maps.app.goo.gl/jxwBKp62EQmkDaxT9
Deliz,Banani,Cafe,3.9/5,"Deliz,banani",https://maps.app.goo.gl/aCAaxUK2nsfPkZmq7
Taste of Bengal,Banani,Bangladeshi,4/5,"Taste of Bengal,banani",https://maps.app.goo.gl/8dhs4AGD98M5EBFF7
Smith's Pizza,Banani,Italian,4.1/5,"Smith's Pizza,banani",https://maps.app.goo.gl/DnTsEHLrLMeo4pTTA
Sugarpuffs Coffee- Gulshan,Banani,Cafe,4.3/5,"Sugarpuffs Coffee- Gulshan,banani",https://maps.app.goo.gl/iUp5QqXC6SzfMTQf8
C House Milano Bangladesh - Gulshan 1,Banani,Italian,2.3/5,"C House Milano Bangladesh - Gulshan 1,banani",https://maps.app.goo.gl/AHystZsZZH3PSHzX7
Sushi Season,Banani,Japanese,3.9/5,"Sushi Season,banani",https://maps.app.goo.gl/WfUP9F9G7s3Sx6GV6
Kimchi Season,Banani,Asian,4.2/5,"Kimchi Season,banani",https://maps.app.goo.gl/gianPSdNpxrBS1W47
Banglar Mishti - Gulshan,Banani,Dessert,4.4/5,"Banglar Mishti - Gulshan,banani",https://maps.app.goo.gl/8JrLdf7BN6iagke29
Nawab Chatga,Banani,Bangladeshi,3.9/5,"Nawab Chatga,banani",https://maps.app.goo.gl/U2yBGdiAQVbveiV87
Farzi Cafe Dhaka,Banani,Indian,3.8/5,"Farzi Cafe Dhaka,banani",https://maps.app.goo.gl/QB35nd1yN8AqpwoL6
Aylanto,Banani,Chinese,2.6/5,"Aylanto,banani",https://maps.app.goo.gl/vcWEstvykdFgFFdG7
Rose Pastry Studio,Banani,Beverage,4.2/5,"Rose Pastry Studio,banani",https://maps.app.goo.gl/tCH9z17tEijxT3mU7
Shawarma Heaven - Gulshan,Banani,Wraps,3.9/5,"Shawarma Heaven - Gulshan,banani",https://maps.app.goo.gl/nGGFudotvQYSuCdj6
Hardee's Snacks,Banani,Snacks,3.6/5,"Hardee's Snacks,banani",https://maps.app.goo.gl/ywM4KarU2MdjbAqQ8
Papa Louie's Pizza Bangladesh,Banani,Pizza,3.5/5,"Papa Louie's Pizza Bangladesh,banani",https://maps.app.goo.gl/vS3HjHbd9miYbVRe9
Thai Emerald - Gulshan,Banani,Chinese,4.3/5,"Thai Emerald - Gulshan,banani",https://maps.app.goo.gl/VSw6ZCefjLQrC9oKA
Sky Dine Rooftop Restaurant Delivery (pandago),Banani,Chinese,3.4/5,"Sky Dine Rooftop Restaurant Delivery (pandago),banani",https://maps.app.goo.gl/aM2pS6LCt8sWGMJP9
Sky Dine Rooftop Restaurant,Banani,Chinese,4.1/5,"Sky Dine Rooftop Restaurant,banani",https://maps.app.goo.gl/jP3TEXd2evvQWibD9
Royal Fried Chicken and Catering Service,Banani,Chicken,4/5,"Royal Fried Chicken and Catering Service,banani",https://maps.app.goo.gl/HqRzj2wthDzrWukr6
Nanna Biryani - Badda Ghudharaghat,Banani,Rice Dishes,3.8/5,"Nanna Biryani - Badda Ghudharaghat,banani",https://maps.app.goo.gl/snuJZnEi1kttfNsv7
Pizza Bellino - Gulshan,Banani,Pizza,4/5,"Pizza Bellino - Gulshan,banani",https://maps.app.goo.gl/ouJUne6YH8E4dwyQA
King's Kabab And Restaurant - Niketon,Banani,Kebab,4/5,"King's Kabab And Restaurant - Niketon,banani",https://maps.app.goo.gl/uH1PQHbMpXcv4tHbA
Hot Bite,Banani,Snacks,2.7/5,"Hot Bite,banani",https://maps.app.goo.gl/vju9NJXVppPUcQTK6
Cricketers Kitchen,Banani,Indian,4/5,"Cricketers Kitchen,banani",https://maps.app.goo.gl/4KGjWkNzsSRDMpfP6
Dark House Cafe - Badda,Banani,Rice Dishes,2.8/5,"Dark House Cafe - Badda,banani",https://maps.app.goo.gl/gwx6zTKbq81A9uHU7
Rice and Noodles,Banani,Rice Dishes,1.5/5,"Rice and Noodles,banani",https://maps.app.goo.gl/ppSBUQNFPJsWCTLe9
Pizzaburg - Gulshan,Gulshan,Pizza,4.2/5,"Pizzaburg - Gulshan,Gulshan",https://maps.app.goo.gl/jFwZpDYaBGXZm7iTA
Burger King Gulshan 2,Gulshan,Burgers,4.4/5,"Burger King Gulshan 2,Gulshan",https://maps.app.goo.gl/mRqw8x7CeHDiyVzC6
Al Kareem Restaurant,Gulshan,Asian,4.1/5,"Al Kareem Restaurant,Gulshan",https://maps.app.goo.gl/f5tREa1pazAivJMp6
Ghoroa Hotel and Restaurant - Mohakhali,Gulshan,Bangladeshi,4.1/5,"Ghoroa Hotel and Restaurant - Mohakhali,Gulshan",https://maps.app.goo.gl/NF56MqRQJtnm9LAD6
